game_event_id,date,game_id,minute,type,club_id,club_name,player_id,description,player_in_id,player_assist_id
60d28dc455d299f5abdb65d7204fef40,2010-06-26,1026846,69,Cards,3589,South Korea,1772,"1. Yellow card  , Foul",,
71280d139049475e02eb7627897da117,2010-06-26,1026846,38,Cards,3589,South Korea,27402,"1. Yellow card  , Foul",,
dbb0d095a58423d8377d6b5b6b9f258f,2010-06-26,1026846,8,Goals,3449,Uruguay,44352,", Right-footed shot, 2. Tournament Goal Assist: , Cross, 1. Tournament Assist",,3408
6948606e52c10f6a2032ebe64355fe14,2010-06-26,1026846,80,Goals,3449,Uruguay,44352,", Right-footed shot, 3. Tournament Goal Assist: , Header, 1. Tournament Assist",,72653
eb2ca121e9069fac2789c9e0be7cdbd3,2010-06-26,1026846,84,Substitutions,3449,Uruguay,44352,", Tactical",76213,
55772cba21ac68a0ae91f1c4a0071279,2010-06-26,1026846,74,Substitutions,3449,Uruguay,54859,", Tactical",72653,
56d9a9fdf8e41024f4a86807336584c9,2010-06-26,1026846,46,Substitutions,3449,Uruguay,54928,", Injury",44935,
2f4c820f11f27999f888f4abd635a389,2010-06-26,1026846,85,Substitutions,3589,South Korea,81796,", Tactical",92093,
8591918691cb30df901ed0af178d2b4b,2010-06-26,1026846,68,Goals,3589,South Korea,81801,", Header, 2. Tournament Goal Assist:",,
63e5f78306a576242e4f29f358200541,2010-06-26,1026846,83,Cards,3589,South Korea,86723,"1. Yellow card  , Foul",,
fba7c94b2ace9a46b29812c9f223badc,2010-06-26,1026846,61,Substitutions,3589,South Korea,90814,", Tactical",688,
247406a265003a0243a50ca24eddd13e,2010-06-27,1026847,27,Cards,6303,Mexico,2904,"1. Yellow card  , Foul",,
f22c5ea4c07ce7ed3de04b7c48846c98,2010-06-27,1026847,25,Goals,3437,Argentina,4276,", Header, 1. Tournament Goal Assist: , Shot on goal, 1. Tournament Assist",,28003
889a9708070c6cce363f090ed077a223,2010-06-27,1026847,51,Goals,3437,Argentina,4276,", Right-footed shot, 2. Tournament Goal Assist: Without assist",,
3b73701db293696d5f71afc3110a0102,2010-06-27,1026847,68,Substitutions,3437,Argentina,4276,", Not reported",3143,
eef064ba07fa91167db7b9060127019f,2010-06-27,1026847,86,Substitutions,3437,Argentina,7895,", Not reported",55215,
412ee0d42f1b42f3d218943d38efd8ba,2010-06-27,1026847,60,Substitutions,6303,Mexico,20506,", Not reported",37558,
dbe2f418838ae78ed892d3b4213eaf86,2010-06-27,1026847,46,Substitutions,6303,Mexico,29572,", Not reported",51079,
ff591ba5267e597e840696753b0e9061,2010-06-27,1026847,32,Goals,3437,Argentina,39153,", Left-footed shot, 4. Tournament Goal Assist: Without assist",,
ed7a871847d9e6aef909ad3333ede86c,2010-06-27,1026847,78,Substitutions,3437,Argentina,45320,", Not reported",26443,
5d4ad4e6747b6b9be740f96c2c82bb26,2010-06-27,1026847,70,Goals,6303,Mexico,50935,", Right-footed shot, 2. Tournament Goal Assist: , Pass, 1. Tournament Assist",,7713
3dbe325e460a2f536c789e937e02e608,2010-06-26,1027001,62,Goals,3505,United States,68,", Penalty, 3. Tournament Goal Assist: , Penalty: Fouled player",,27577
b0904f3aa061b5d2e222e58d6ad6d370,2010-06-26,1027001,73,Substitutions,3441,Ghana,707,", Tactical",133553,
bdbc709d7af117231a44c2b318c78446,2010-06-26,1027001,17,Cards,3505,United States,1335,"2. Yellow card  , Foul",,
bbaad6655254c90104a5f26648f4836d,2010-06-26,1027001,68,Cards,3505,United States,15829,"1. Yellow card  , Foul",,
5101f4ab22febe7d3a83a53c59c9e890,2010-06-26,1027001,5,Goals,3441,Ghana,16922,", Left-footed shot, 1. Tournament Goal Assist:",,
c94009447cbf0e18221792320c9c431b,2010-06-26,1027001,78,Substitutions,3441,Ghana,16922,", Injury",5975,
dc16b9ac53c92ca773e38e4b3a01572a,2010-06-26,1027001,93,Goals,3441,Ghana,26802,", Left-footed shot, 3. Tournament Goal Assist: , Pass, 1. Tournament Assist",,45403
c5212555e5a58b788883d9d5660f3ee8,2010-06-26,1027001,46,Substitutions,3505,United States,27167,", Tactical",33118,
eebf13d5794c1f7f7c5c09e51cecf6b9,2010-06-26,1027001,91,Substitutions,3505,United States,39378,", Tactical",39465,
f8f47715cd8267c8e37fcfda75b0c208,2010-06-26,1027001,7,Cards,3505,United States,39840,"1. Yellow card  , Foul",,
030da3f8b4e4bb6297bb90c596f74c61,2010-06-26,1027001,31,Substitutions,3505,United States,39840,", Tactical",50987,
08269d97ae4a4b8e64859a8827116f37,2010-06-26,1027001,90,Cards,3441,Ghana,45403,"2. Yellow card  , Foul",,
86dfa032529c8687c862a6dbfb674225,2010-06-26,1027001,113,Substitutions,3441,Ghana,106306,", Injury",17129,
ea7aab37e83f416e4dd3e6c754805c56,2010-06-26,1027001,61,Cards,3441,Ghana,110622,"2. Yellow card  , Foul",,
d05b32d7c7c4bd735f52e500769f1b87,2010-06-27,1027002,20,Goals,3262,Germany,10,", Right-footed shot, 2. Tournament Goal Assist: , Goal-kick, 1. Tournament Assist",,17259
efceeb28e01701a38782d8c96d674469,2010-06-27,1027002,72,Substitutions,3262,Germany,10,", Resting",6288,
af1b446830143da07dd91fd30f1622c6,2010-06-27,1027002,47,Cards,3262,Germany,698,"1. Yellow card  , Foul",,
a297682297c1a7d9d2ca2e678add777d,2010-06-27,1027002,37,Goals,3299,England,3273,", Header, 1. Tournament Goal Assist: , Cross, 1. Tournament Assist",,3109
4acf335fb13519b5621a9b3b19b26d13,2010-06-27,1027002,64,Substitutions,3299,England,3333,", Tactical",3876,
c0555f093b347c6cd860b2983e92bbda,2010-06-27,1027002,71,Substitutions,3299,England,3875,", Tactical",3142,
528ac0b9cc891d2c884315ca96a118dd,2010-06-27,1027002,82,Cards,3299,England,3881,"2. Yellow card  , Foul",,
2ca2360fbe73d8fbf01d8f2efae1cadd,2010-06-27,1027002,87,Substitutions,3299,England,3881,", Tactical",3467,
f4a7f97229cd8b3c5138b9f03e908989,2010-06-27,1027002,32,Goals,3262,Germany,15185,", Left-footed shot, 2. Tournament Goal Assist: , Pass, 3. Tournament Assist",,58358
9697e700cba66cbb2133ec50ed606fa7,2010-06-27,1027002,83,Substitutions,3262,Germany,35664,", Resting",6237,
35b10ec5e1daebf0ea3421c23ddfac07,2010-06-27,1027002,67,Goals,3262,Germany,58358,", Right-footed shot, 2. Tournament Goal Assist: , Pass, 1. Tournament Assist",,2514
ad32200f423b08dcd0461b82c5192300,2010-06-27,1027002,70,Goals,3262,Germany,58358,", Right-footed shot, 3. Tournament Goal Assist: , Pass, 2. Tournament Assist",,35664
68ac54fcd6432d277f7bdaee532f7866,2010-06-27,1027002,72,Substitutions,3262,Germany,58358,", Special achievements",2623,
03b9ef64de5d1b293f5f82f46124be72,2010-06-28,1027048,90,Goals,3503,Slovakia,3531,", Penalty, 4. Tournament Goal Assist: , Penalty: Fouled player",,40059
f643f446036ef0771706431623f8b56c,2010-06-28,1027048,90,Cards,3379,Netherlands,4311,1. Yellow card,,
b33298880a6a6b2a3161e6a9c66a0783,2010-06-28,1027048,31,Cards,3379,Netherlands,4360,1. Yellow card,,
fb2778591286a98d9ec4ca1fccba1bcb,2010-06-28,1027048,18,Goals,3379,Netherlands,4360,", Left-footed shot, 1. Tournament Goal Assist: , Pass, 1. Tournament Assist",,4673
65a32c99f14619a7b00b24be163ef1fd,2010-06-28,1027048,71,Substitutions,3379,Netherlands,4360,", Not reported",27805,
0d55d502d67599a0ed4f34f65be7fa77,2010-06-28,1027048,80,Substitutions,3379,Netherlands,4380,", Not reported",4357,
84cdf35180f941eaa3a4557e66d1f044,2010-06-28,1027048,84,Goals,3379,Netherlands,4673,", Right-footed shot, 2. Tournament Goal Assist: , Pass, 1. Tournament Assist",,4010
0ea10230d1e26307f1751be3fc00226c,2010-06-28,1027048,90,Substitutions,3379,Netherlands,4673,", Not reported",15760,
f107d5eaf20243086d62b068b91a600a,2010-06-28,1027048,84,Cards,3503,Slovakia,24180,1. Yellow card,,
96c55d6db186368c47d30c64f43299ed,2010-06-28,1027048,87,Substitutions,3503,Slovakia,24856,", Not reported",24237,
7cc996b77914636fb8ec1b617ed9f612,2010-06-28,1027048,87,Substitutions,3503,Slovakia,38593,", Not reported",40059,
9862d5dfea9effea73daaf5c8ba3ba6e,2010-06-28,1027048,72,Cards,3503,Slovakia,40058,1. Yellow card,,
c4633d77066875402d774cfd4d061021,2010-06-28,1027048,71,Substitutions,3503,Slovakia,41369,", Not reported",40058,
f41631c8148c4a3af5f90b0b8bca503c,2010-06-28,1027048,39,Cards,3503,Slovakia,74943,1. Yellow card,,
