player_id,transfer_date,transfer_season,from_club_id,to_club_id,from_club_name,to_club_name,transfer_fee,market_value_in_eur,player_name
467994,2030-06-30,25/26,5621,749,Reggiana,FC Empoli,0.000,700000.000,Luca Belardinelli
739277,2027-05-30,26/27,42055,589,Genclik Gücü,Antalyaspor,0.000,,Yannick Nkurunziza
1043003,2027-01-27,26/27,114,405,Besiktas,Aston Villa,0.000,5000000.000,Yasin Özcan
282727,2026-12-31,25/26,49283,605,FC Juárez,Aris Saloniki,0.000,6000000.000,Monchu
371996,2026-12-31,26/27,6600,2410,Internacional,CSKA Moscow,0.000,3000000.000,Alerrandro
401533,2026-12-31,26/27,2029,2423,Ceará SC,Santa Clara,0.000,1500000.000,Matheusinho
462977,2026-12-31,26/27,605,978,Aris Saloniki,Vasco da Gama,0.000,3500000.000,Benjamín Garré
468256,2026-12-31,26/27,2035,16655,Avaí FC,Atlético-MG B,0.000,700000.000,Daniel Penha
541914,2026-12-31,26/27,713,1124,BATE Borisov,Fakel Voronezh,0.000,225000.000,Anton Kovalev
548993,2026-12-31,26/27,26459,53646,Veres Rivne,Polissya,0.000,400000.000,André Gonçalves
562734,2026-12-31,26/27,27190,7160,SH Port,Eyüpspor,0.000,1500000.000,Prince Ampem
589911,2026-12-31,26/27,2029,2423,Ceará SC,Santa Clara,0.000,2000000.000,Wendel
634023,2026-12-31,26/27,13379,53646,Cúcuta Dep.,Polissya,0.000,400000.000,Luifer Hernández
648076,2026-12-31,26/27,43146,1532,UCV FC,Albacete,0.000,350000.000,Jovanny Bolívar
657220,2026-12-31,26/27,6600,2410,Internacional,CSKA Moscow,0.000,4000000.000,Rodrigo Villagra
661858,2026-12-31,26/27,6985,5570,Oriente P.,The Strongest,0.000,200000.000,José Flores
672202,2026-12-31,26/27,17776,210,Chapecoense,Grêmio,0.000,1200000.000,Camilo
697943,2026-12-31,26/27,1186,2698,Torpedo Moscow,Rubin Kazan,0.000,250000.000,Nikita Korets
706176,2026-12-31,26/27,63007,6912,LNZ Cherkasy,Vizela,0.000,500000.000,Abdul Awudu
715379,2026-12-31,26/27,28098,49702,FC Kaluga,Pari NN,0.000,100000.000,Evgeniy Lukinykh
717203,2026-12-31,26/27,4078,660,Montréal,Shakhtar D.,0.000,300000.000,Ivan Losenko
762387,2026-12-31,26/27,34828,660,Istiqlol,Shakhtar D.,0.000,100000.000,Khusrav Toirov
766258,2026-12-31,26/27,199,1114,Corinthians,Al-Hilal,0.000,4500000.000,Kaio César
787618,2026-12-31,26/27,1444,46,Racing Club,Inter,0.000,10000000.000,Valentín Carboni
814273,2026-12-31,26/27,17276,41231,ZJ FC,FK Sochi,0.000,1200000.000,Saúl Guarirapa
831162,2026-12-31,26/27,1030,430,Argentinos Jrs.,Fiorentina,0.000,500000.000,Gino Infantino
837974,2026-12-31,26/27,11855,1444,Guaraní,Racing Club,0.000,700000.000,Patricio Tanda
842479,2026-12-31,26/27,6478,43,LD Alajuelense,Heart of Midl.,0.000,750000.000,Kenneth Vargas
912491,2026-12-31,26/27,3723,100383,M. Lipetsk,Fakel II,0.000,,Shota Chikhradze
926979,2026-12-31,26/27,8995,1177,Hødd,Silkeborg IF,0.000,100000.000,Sebastian Biller
927271,2026-12-31,26/27,16198,16704,Atyrau,Krasnodar,0.000,250000.000,Konstantin Dorofeev
929626,2026-12-31,26/27,1011,2778,Halmstads BK,Nordsjaelland,0.000,500000.000,William Lykke
946396,2026-12-31,26/27,4394,14589,Dnepr Mogilev,Orenburg,0.000,100000.000,Timofey Martynov
950593,2026-12-31,26/27,1444,410,Racing Club,Udinese,0.000,2500000.000,Damián Pizarro
993645,2026-12-31,26/27,288,46,Estudiantes LP,Inter,0.000,3500000.000,Tomás Palacios
1017261,2026-12-31,26/27,195,190,Rosenborg,Copenhagen,0.000,3000000.000,Amin Chiakha
